roi1,roi2,roi51,roi52,roi53,roi14,roi15,roi16,roi17,roi18,roi20,roi23,roi24,roi25,roi65,roi67,roi68,roi70,roi74,roi77,roi31,roi32,roi33,roi34,roi35,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi48,roi80,roi82,roi83,roi88,roi90,roi91,roi92,roi93,roi94
-0.314728784,-0.858535093,-0.262723863,-0.596336172,-0.658908579,-0.427325049,-0.551567574,-0.492249255,-0.515743715,-0.635127479,-0.315245687,-0.435384029,-0.412735414,-0.598454527,-0.349007352,-0.679729429,-0.497170228,-0.348166393,-0.424980442,-0.320263557,-0.555281139,-0.557531955,-0.475816862,-0.548555878,-0.800342814,-0.575320616,-0.541413995,-0.689247374,-0.369803838,-0.541501211,-0.82947348,-0.640088276,-0.466874848,-0.55343664,-0.519218323,-0.317854594,-0.539074879,-0.582833287,-0.509069068,-0.485919198,-0.534342652,-0.469838061
-0.257995477,-0.738306278,-0.218345841,-0.500492218,-0.570400391,-0.382393041,-0.494915733,-0.432536278,-0.456446579,-0.571568393,-0.283460686,-0.395149549,-0.374259817,-0.545575402,-0.305059838,-0.598653228,-0.442814625,-0.306740829,-0.38494131,-0.283213218,-0.487843201,-0.499007074,-0.426723879,-0.498696811,-0.72223706,-0.517730732,-0.487691466,-0.633686083,-0.335057322,-0.491652499,-0.756247576,-0.577333578,-0.419520405,-0.486735232,-0.464192483,-0.27996788,-0.483127021,-0.527615114,-0.461109372,-0.439358298,-0.480429959,-0.418439065
-0.20126217,-0.618077463,-0.173967819,-0.404648265,-0.481892203,-0.337461033,-0.438263892,-0.372823301,-0.397149442,-0.508009307,-0.251675685,-0.35491507,-0.335784219,-0.492696276,-0.261112324,-0.517577027,-0.388459023,-0.265315264,-0.344902177,-0.246162878,-0.420405262,-0.440482193,-0.377630895,-0.448837745,-0.644131306,-0.460140848,-0.433968936,-0.578124792,-0.300310805,-0.441803788,-0.683021672,-0.51457888,-0.372165961,-0.420033824,-0.409166644,-0.242081165,-0.427179163,-0.472396942,-0.413149676,-0.392797398,-0.426517267,-0.367040068
-0.144528864,-0.497848649,-0.129589797,-0.308804312,-0.393384014,-0.292529026,-0.381612052,-0.313110323,-0.337852306,-0.444450222,-0.219890684,-0.31468059,-0.297308622,-0.43981715,-0.217164809,-0.436500826,-0.334103421,-0.2238897,-0.304863045,-0.209112539,-0.352967324,-0.381957313,-0.328537911,-0.398978678,-0.566025552,-0.402550964,-0.380246407,-0.522563501,-0.265564289,-0.391955076,-0.609795768,-0.451824182,-0.324811518,-0.353332416,-0.354140804,-0.204194451,-0.371231304,-0.417178769,-0.36518998,-0.346236499,-0.372604574,-0.315641072
-0.087795557,-0.377619834,-0.085211775,-0.212960359,-0.304875826,-0.247597018,-0.324960211,-0.253397346,-0.278555169,-0.380891136,-0.188105683,-0.274446111,-0.258833025,-0.386938024,-0.173217295,-0.355424624,-0.279747819,-0.182464135,-0.264823912,-0.1720622,-0.285529385,-0.323432432,-0.279444928,-0.349119611,-0.487919798,-0.34496108,-0.326523877,-0.46700221,-0.230817772,-0.342106365,-0.536569864,-0.389069484,-0.277457074,-0.286631008,-0.299114964,-0.166307736,-0.315283446,-0.361960597,-0.317230285,-0.299675599,-0.318691881,-0.264242075
-0.03106225,-0.25739102,-0.040833752,-0.117116405,-0.216367638,-0.20266501,-0.26830837,-0.193684369,-0.219258033,-0.31733205,-0.156320682,-0.234211631,-0.220357427,-0.334058898,-0.129269781,-0.274348423,-0.225392216,-0.141038571,-0.22478478,-0.135011861,-0.218091447,-0.264907551,-0.230351944,-0.299260544,-0.409814044,-0.287371196,-0.272801348,-0.411440918,-0.196071256,-0.292257653,-0.46334396,-0.326314787,-0.23010263,-0.2199296,-0.244089125,-0.128421022,-0.259335588,-0.306742424,-0.269270589,-0.2531147,-0.264779188,-0.212843079
0.025671057,-0.137162205,0.00354427,-0.021272452,-0.12785945,-0.157733003,-0.211656529,-0.133971391,-0.159960896,-0.253772964,-0.124535681,-0.193977152,-0.18188183,-0.281179773,-0.085322267,-0.193272222,-0.171036614,-0.099613007,-0.184745647,-0.097961522,-0.150653508,-0.20638267,-0.18125896,-0.249401477,-0.33170829,-0.229781312,-0.219078818,-0.355879627,-0.16132474,-0.242408942,-0.390118056,-0.263560089,-0.182748187,-0.153228192,-0.189063285,-0.090534307,-0.20338773,-0.251524252,-0.221310893,-0.2065538,-0.210866496,-0.161444083
0.082404364,-0.01693339,0.047922292,0.074571501,-0.039351262,-0.112800995,-0.155004688,-0.074258414,-0.10066376,-0.190213878,-0.09275068,-0.153742672,-0.143406233,-0.228300647,-0.041374752,-0.112196021,-0.116681012,-0.058187442,-0.144706515,-0.060911183,-0.08321557,-0.147857789,-0.132165977,-0.19954241,-0.253602536,-0.172191428,-0.165356289,-0.300318336,-0.126578223,-0.19256023,-0.316892152,-0.200805391,-0.135393743,-0.086526783,-0.134037445,-0.052647593,-0.147439872,-0.196306079,-0.173351197,-0.1599929,-0.156953803,-0.110045086
0.13913767,0.103295424,0.092300314,0.170415455,0.049156927,-0.067868987,-0.098352847,-0.014545437,-0.041366623,-0.126654792,-0.060965679,-0.113508193,-0.104930635,-0.175421521,0.002572762,-0.031119819,-0.06232541,-0.016761878,-0.104667382,-0.023860844,-0.015777631,-0.089332909,-0.083072993,-0.149683343,-0.175496782,-0.114601545,-0.111633759,-0.244757045,-0.091831707,-0.142711518,-0.243666248,-0.138050693,-0.0880393,-0.019825375,-0.079011605,-0.014760878,-0.091492014,-0.141087907,-0.125391501,-0.113432001,-0.10304111,-0.05864609
0.195870977,0.223524239,0.136678336,0.266259408,0.137665115,-0.02293698,-0.041701006,0.045167541,0.017930513,-0.063095707,-0.029180678,-0.073273713,-0.066455038,-0.122542395,0.046520276,0.049956382,-0.007969807,0.024663687,-0.06462825,0.013189495,0.051660307,-0.030808028,-0.033980009,-0.099824276,-0.097391028,-0.057011661,-0.05791123,-0.189195754,-0.057085191,-0.092862807,-0.170440344,-0.075295995,-0.040684856,0.046876033,-0.023985766,0.023125836,-0.035544155,-0.085869735,-0.077431805,-0.066871101,-0.049128418,-0.007247094
0.252604284,0.343753054,0.181056359,0.362103361,0.226173303,0.021995028,0.014950835,0.104880518,0.07722765,0.000463379,0.002604323,-0.033039234,-0.027979441,-0.06966327,0.09046779,0.131032583,0.046385795,0.066089251,-0.024589117,0.050239834,0.119098246,0.027716853,0.015112975,-0.04996521,-0.019285275,0.000578223,-0.0041887,-0.133634463,-0.022338674,-0.043014095,-0.09721444,-0.012541297,0.006669588,0.113577441,0.031040074,0.061012551,0.020403703,-0.030651562,-0.02947211,-0.020310202,0.004784275,0.044151903
0.309337591,0.463981868,0.225434381,0.457947315,0.314681491,0.066927035,0.071602675,0.164593495,0.136524786,0.064022465,0.034389324,0.007195245,0.010496157,-0.016784144,0.134415305,0.212108784,0.100741397,0.107514815,0.015450015,0.087290174,0.186536184,0.086241734,0.064205958,-0.000106143,0.058820479,0.058168107,0.049533829,-0.078073172,0.012407842,0.006834616,-0.023988536,0.0502134,0.054024031,0.180278849,0.086065914,0.098899265,0.076351561,0.02456661,0.018487586,0.026250698,0.058696968,0.095550899
0.366070898,0.584210683,0.269812403,0.553791268,0.403189679,0.111859043,0.128254516,0.224306473,0.195821923,0.127581551,0.066174325,0.047429725,0.048971754,0.036094982,0.178362819,0.293184985,0.155096999,0.14894038,0.055489148,0.124340513,0.253974123,0.144766615,0.113298942,0.049752924,0.136926233,0.115757991,0.103256359,-0.022511881,0.047154358,0.056683328,0.049237368,0.112968098,0.101378475,0.246980257,0.141091753,0.13678598,0.132299419,0.079784783,0.066447282,0.072811598,0.11260966,0.146949896
0.422804204,0.704439497,0.314190425,0.649635221,0.491697868,0.156791051,0.184906357,0.28401945,0.255119059,0.191140637,0.097959326,0.087664204,0.087447351,0.088974108,0.222310333,0.374261187,0.209452602,0.190365944,0.09552828,0.161390852,0.321412062,0.203291495,0.162391926,0.099611991,0.215031987,0.173347875,0.156978888,0.03304941,0.081900875,0.106532039,0.122463272,0.175722796,0.148732918,0.313681665,0.196117593,0.174672694,0.188247277,0.135002955,0.114406978,0.119372497,0.166522353,0.198348892
0.479537511,0.824668312,0.358568447,0.745479174,0.580206056,0.201723058,0.241558198,0.343732427,0.314416196,0.254699723,0.129744327,0.127898684,0.125922949,0.141853233,0.266257847,0.455337388,0.263808204,0.231791509,0.135567413,0.198441191,0.38885,0.261816376,0.211484909,0.149471058,0.293137741,0.230937759,0.210701418,0.088610701,0.116647391,0.156380751,0.195689176,0.238477494,0.196087362,0.380383074,0.251143433,0.212559409,0.244195136,0.190221128,0.162366674,0.165933397,0.220435046,0.249747888
0.536270818,0.944897127,0.402946469,0.841323128,0.668714244,0.246655066,0.298210039,0.403445405,0.373713332,0.318258808,0.161529327,0.168133163,0.164398546,0.194732359,0.310205362,0.536413589,0.318163806,0.273217073,0.175606545,0.23549153,0.456287939,0.320341257,0.260577893,0.199330125,0.371243495,0.288527643,0.264423947,0.144171992,0.151393907,0.206229462,0.26891508,0.301232192,0.243441806,0.447084482,0.306169273,0.250446123,0.300142994,0.2454393,0.210326369,0.212494296,0.274347739,0.301146885
0.593004125,1.065125941,0.447324492,0.937167081,0.757222432,0.291587074,0.35486188,0.463158382,0.433010468,0.381817894,0.193314328,0.208367643,0.202874143,0.247611485,0.354152876,0.61748979,0.372519409,0.314642637,0.215645677,0.272541869,0.523725877,0.378866138,0.309670877,0.249189192,0.449349249,0.346117527,0.318146477,0.199733284,0.186140424,0.256078174,0.342140984,0.363986889,0.290796249,0.51378589,0.361195112,0.288332838,0.356090852,0.300657473,0.258286065,0.259055196,0.328260431,0.352545881
0.649737432,1.185354756,0.491702514,1.033011034,0.845730621,0.336519081,0.411513721,0.522871359,0.492307605,0.44537698,0.225099329,0.248602122,0.241349741,0.300490611,0.39810039,0.698565992,0.426875011,0.356068202,0.25568481,0.309592208,0.591163816,0.437391019,0.35876386,0.299048259,0.527455003,0.403707411,0.371869006,0.255294575,0.22088694,0.305926885,0.415366888,0.426741587,0.338150693,0.580487298,0.416220952,0.326219552,0.41203871,0.355875645,0.306245761,0.305616096,0.382173124,0.403944877
0.706470738,1.30558357,0.536080536,1.128854988,0.934238809,0.381451089,0.468165561,0.582584337,0.551604741,0.508936066,0.25688433,0.288836602,0.279825338,0.353369737,0.442047904,0.779642193,0.481230613,0.397493766,0.295723942,0.346642547,0.658601754,0.495915899,0.407856844,0.348907325,0.605560757,0.461297295,0.425591536,0.310855866,0.255633457,0.355775597,0.488592792,0.489496285,0.385505136,0.647188706,0.471246792,0.364106267,0.467986568,0.411093817,0.354205457,0.352176995,0.436085817,0.455343874
0.763204045,1.425812385,0.580458558,1.224698941,1.022746997,0.426383097,0.524817402,0.642297314,0.610901878,0.572495152,0.288669331,0.329071081,0.318300936,0.406248862,0.485995419,0.860718394,0.535586215,0.438919331,0.335763075,0.383692886,0.726039693,0.55444078,0.456949828,0.398766392,0.683666511,0.518887179,0.479314065,0.366417157,0.290379973,0.405624308,0.561818696,0.552250983,0.43285958,0.713890114,0.526272631,0.401992981,0.523934426,0.46631199,0.402165153,0.398737895,0.489998509,0.50674287
